Name,Category,Address,Google Business URL,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Maximum Motion Fitness,Fitness,"262 Grove St, Jersey City, NJ 07302",https://goo.gl/maps/5r1b9hKS5vkpEMZv8,40.71696,-74.044267,1,range_interpolation,262,Grove St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Yoga Shunya,Fitness,"275 Grove St, Jersey City, NJ 07302, United States",https://goo.gl/maps/RZMueiSW1FfbD1P98,40.717776,-74.044376,1,rooftop,275,Grove St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
SunMoon Hot Yoga,Fitness,"341 Grove St, Jersey City, NJ 07302, United States",https://g.page/suryajc?share,40.720536,-74.043125,1,rooftop,341,Grove St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Hamilton Health & Fitness,Fitness,"161 Erie St, Jersey City, NJ 07302, United States",https://g.page/HHFJC?share,40.727488,-74.043603,1,range_interpolation,161,Erie St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
F45 Training,Fitness,"65 Bay St, Jersey City, NJ 07302, United States",https://goo.gl/maps/7nQiP3dQVQoHDx3X6,40.719776,-74.036344,1,rooftop,65,Bay St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Cyclebar,Fitness,"65 Bay St, Jersey City, NJ 07302, United States",https://goo.gl/maps/b6qXMS3TaxPKkFVXA,40.719776,-74.036344,1,rooftop,65,Bay St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
CRAG,Fitness,"127 1st St #2918, Jersey City, NJ 07302, United States",https://goo.gl/maps/ifLEQ2ZBDmAvxPEE6,40.721171,-74.038436,1,range_interpolation,127,1st St,#,2918,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Pilates Haus,Fitness,"160 1st St, Jersey City, NJ 07302, United States",https://goo.gl/maps/YMV7ZYKugpAvTCEM6,40.721575,-74.039719,1,range_interpolation,160,1st St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
CKO Kickboxing,Fitness,"150 Bay St, Jersey City, NJ 07302, United States",https://goo.gl/maps/DNYcY6vYRi9jcmTK6,40.721022,-74.039921,1,rooftop,150,Bay St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Powerflow Yoga,Fitness,"160 Morgan St #5, Jersey City, NJ 07302, United States",https://goo.gl/maps/5shbc2SFFS1N2wxn7,40.720163,-74.040182,1,range_interpolation,160,Morgan St,Ste,5,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
